,tweet_processed,Topics
391,when an irish professor says that the new covid  variant is so infectious that it will be 'almost impossible' to avoid catching it if you didn't catch omicron covid omincron newvariant ,cases
389,the covid hamster wheel of the new normal  covidlies newvariant resist cancellockdown ,cases
1327,as new covid variants emerge getting your booster dose is essential to avoid overwhelming our health systems,cases
388,antibody boosting effect of infection by omicron is pathetic protection against another infection or variant may not be long lasting booster is the way to go  ,cases
1184,throwback to the pre-covid bangalore streets,cases
1185,throwback to the pre-covid chennai streets,cases
1192,covid -we can beat it,cases
1194,covid awareness and safety kit distribution at carmona village by the indian red cross society salcete on th april ,cases
1195,test lab on wheels in odisha for coronavirus,cases
1196,test lab on wheels in tamilnadu for coronavirus,cases
1197,test lab on wheels in maharashtra for coronavirus,cases
1182,throwback to the pre-covid bombay streets,cases
405,covid day  still testing a strong positive ive lost my taste and smell today whats that all about shouldnt symptoms be wearing off now covid omicron covidsymptoms,cases
1336,vaccinations are essential for optimal protection covid,cases
1337,vp kamala harris tests positive for covid- despite taking second booster in early april,cases
1528,the country first dedicated covid- hospital successfully handled childbirth by a covid positive woman,cases
207," bbmp bengaluru covidvaccine availability for / at :am
free slots 
paid slots 
covishield  dose: dose:
covaxin  dose: dose: ( ",cases
1550,as i had earlier mentioned maryam had taken a promise that in  ill throw a big birthday bash for her unfortunately that was not happening due to the entry of covid into our lives,cases
1555,how will india's informal sector emerge from the pandemic the covid- pandemic and lockdowns have upended india's informal job,cases
200,"uttar pradesh government is now planning to shift its focus to villages with a revised rural vaccination strategy
(

india uttarpradesh coronaviruspandemic covid covidvaccine vaccinationdrive 

",cases
188,such an expansion in prevalence directly results from mass vaccination campaigns as mass vaccination turns vaccinees into an excellent breeding ground for naturally selected s-directed immune escape variants covidvaccine covid ,cases
1590,in this time when we all are facing covid- in our country,cases
1591,duty with covid  feeling strong,cases
1592,emotional roi should be one of your key performance indicators during covid,cases
1594,be safe covid besafe washurhands livehealthy healthylife,cases
176," rural bengaluru covidvaccine availability for / at :am
free slots 
paid slots  ( ",cases
1603,aicte launches free e-learning portal for the candidates sitting at home during the covid quarantine period,cases
1604,considering jaipur's recent cases of covid- in jail prisoners from jails all over the country must be released as social distancing is not possible for jail-inmates saveprisoners,cases
1607,do's for the elderly people to reduce the transmission among them during covid-,cases
168,"covidtn
covid positive cases today-tn  individuals tested around  tpr-tn  tpr yesterday  testing down fatalities  fatality is the area of concern follow appropriate covid behavior to avoid third wavecovidvaccine covid deltavariant covidns ",cases
1518,covid- some important things for self protection,cases
1514,some serious disscussion on covid-,cases
232," bbmp bengaluru covidvaccine availability for / at :am
free slots 
paid slots 
covishield  dose: dose:
covaxin  dose: dose: ( ",cases
1474,feeling much better today the big questions did i have covid will i ever get tested to find out am i now immune,cases
1354,the government of india will allow non-scheduled commercial flights to operate from more that  countries bringing home indians stranded abroad during covid- we wish our brothers and sisters a safe journey back,cases
1366,measures to clean your reusable mouthmasks and reduces the chance of infection,cases
1371,trying to be a vegan during this covid pandemic,cases
1398,handhygiene is one of the most effective actions to stop the spread of infection,cases
1400,beat the heat indiafightscorona covid preventionisbetterthancure,cases
1406,kill coronavirus in a car without damaging surface reduce the risk of infection,cases
1415,elderly people have less immunity n already ill so more prone to infections due to lack of space social distancing is impossible,cases
304,"why an omicron  infection alone might not offer the immune boost you'd expect  cbc news 
covid covid covid covidvariants covidvaccine 
",cases
1417,shop are still closed till next announcement due to covid-,cases
1421,a step to spread awareness about covid-  with the help of poem called zinda ho tum written by faroutakhtar recited by me,cases
262,more evidence of the safety of covid- vaccination - covid- vaccination and noncovid- mortality risk  ,cases
1434,mask for safety,cases
1441,dear corona if you cancel my fucking church camp and summer plans covid,cases
251,the allergic reaction that covidvaccine is causing isnt happening to people who has allergies it is more random and happening more to people who were otherwise well but then they go away in everyone whom ive seen fullyvaccinated,cases
1458,its good to know that people are actually taking protection seriously covid take vaccination take protection,cases
241, probably should have mentioned this is what happens when you don't get your free covidvaccine sad yet preventable ,cases
1419,indian red cross salcete covid activity bulletin for th may ,cases
406,i have covid and my hair feels weird - anybody  covidsymptoms  covid,cases
408,"rosy red cheeks seem to be a common symptom (anecdotally) amongst the children i know who have tested positive for this round of covid even before they do test positive

covidsymptoms
covidisnotover 
covid",cases
409,omicron ba:  new symptoms indicate you are infected with covid subvariant read here ba gastro covidsymptoms  ,cases
655,vaccine-induced antibody response to sars-cov- omicron variant in patients with b cell malignancies with and without active b cell-targeted therapy ,cases
654,covid day  still testing a strong positive ive lost my taste and smell today whats that all about shouldnt symptoms be wearing off now covid omicron covidsymptoms,cases
652,"because happiness matters

harvard wants mbas to learn how to be happy at work

to lead a happyteam you have to learn to be happy yourself according to a harvardbusinessschool course thats been popular in the pandemic a ho",cases
647,"hillary clinton tests positive for covid- experiencing mild symptoms

hillaryclinton covid coronavirus pandemic usa billclinton politics health news bsocialplus

",cases
873,ukraine war: surge expected in covid- polio cholera warn doctors -india newscart ,cases
621,"ventilation systems can cut covid- coronavirus transmission in schools  

 covid  illness  infection  sarscov  pandemic  via  

",cases
617,lighttherapy infrared heatingpad works on lungs as a potential treatment for chestcolds amp; pandemic coronavirus infections covid- sciencedirect i tried and worked miracles  better in  hours with  hr seasons pain n cough gone ,cases
926,"mint: covid th wave: maharashtra on alert as omicron ba surges globally expert on what to expect next
",cases
927,covid-: amid fourth wave scare expert body suggests reducing gap between covishield doses ,cases
929,"several countries including china germany and hong kong are witnessing a dramatic surge in cases however epidemiologists in india believe that unless a deadlier variant of the virus emerges the country is unlikely to witness another wave of infections
",cases
939,"while several countries in the world are witnessing a fresh covid wave india registered less than  infections for the fifth consecutive day

covid covidindia 
",cases
590,"hillary clinton former us secretary of state tests positive for covid-
hillaryclinton coronavirus covid pandemic ",cases
944,"while several countries in the world are witnessing a fresh covid wave india registered less than  infections for the fifth consecutive day 

",cases
951,"covid-: fourth wave could occur in india but not yet feel experts
 download the toi app now:
",cases
580,"in many countries as restrictions lift and free a general feeling that the pandemic is over there is however still the significant concern that a dangerous new variant could emerge but this wasn't guaranteed for full report read  covid
",cases
656, vaccine-induced antibody response to sars-cov- omicron variant in patients with b cell malignancies with and without active b cell-targeted therapy ,cases
657,vaccine-induced antibody response to sars-cov- omicron variant in patients with b cell malignancies with and without active b cell-targeted therapy ,cases
658,"latest version of omicron accounts for most new infections in many parts of the us genomics testing shows
covid pandemic 
",cases
669,we're supporting durham's nonprofit sector through (and post) the covid- pandemic via a survey reporting and action plans to help organizations plan for the future in  we presented we're on our way  philanthropy forum: ,cases
735,india to monitor sewage in major metros for covid strain ,cases
760,"yes see what happens - and then the us can think whether they can approve it
 
sick

",cases
763, now india is covid safe country china should put india in green zone and allow us to resume our work and study there,cases
770,"india is registering low covid infections with active cases plummeting to a record low at  comprising  percent of the total infections so far the country recorded  fresh cases while  fresh fatalities were recorded

",cases
728,covid rth wave(stealth omicron) is already happening in ukparts of europechinahongkongausnz it is predicted that it will hit india in june and will peak around in august and it has  more transmission rate than omicron ,cases
725,india to monitor sewage in major metros for covid strain,cases
801,"mintpremium  from the possible impact of crude oil price shocks on india to china's latest wave of covid- infections and india's booster doses here's a look at this week in data

",cases
953,"several parts of the world have been reporting an increase in fresh cases of covid but in india experts believe that unless a deadlier variant of the virus emerges the country is unlikely to witness another wave of infections by  

",cases
708,coronavirus: study finds  covid cases in the uk have this common omicron symptom - times of india ,cases
706,india to monitor sewage in major metros for covid strain ,cases
705,deltacron variant of covid- reaches india,cases
704,"covid recombinant: all about symptoms
on the reported covid recombinant cases no official statement has been given reportedly india's covid genomics consortium (insacog) and gisaid indicate that as many as  cases are under the scanner
for more det ",cases
702,india surpassed  crores of vaccination doses on the verge of all india covid- vaccination drive,cases
688,"covovax is the fourth covid- vaccine to be authorised for adolescents aged  years and older in india after biological e's corbevax zydus cadila's zycov-d and bharat biotech's covaxin

",cases
684,"as your organization plans its post pandemic strategy here are some important trends to consider:

-rise in remote working (wfh)
-continuing plague of ransomware
-worsening risks of inadequate security

want to know more 

",cases
846," covid  since 
covid immunity decline

covid surge warning
hospitals  bed full
que for icu to survive
at scotland
singapore hongkong india
china  korea  australia

coronavirus deadly
humandisease pneumonia
lack of oxygen


i'm drfiroz ahmad md
specialist family gp",cases
812," are all deaths being classified as covid now

this is probably the exact opposite of what happened in india (zero deaths due to lack of oxygen)

no data = too much data",cases
1909,india is yet to endorse sputnikv as usual europeans have dumped their substandard covishield,cases
957,covid th wave: maharashtra on alert as omicron ba surges globally expert on what to expect next ,cases
961,covid-: fourth wave could occur in india but not yet feel experts ,cases
1109,exposure to air pollution in long term reduces organs capacity to function fully amp makes it more vulnerable to infections in context of current covid such individuals r likely to face severe complications,cases
455,"ukgovernment failure to learn pandemic lessons will come at high cost to generations
pac report today: covid has exposed limitations in how the government manages risks plus failure to learn from both simulation exercises amp; actual incidents
",cases
1112,covid  destroyed everything,cases
445,"a shift is occurring in singapore the hotel landscape in singapore is facing imminent change that resembles what was previously considered normality in simplest terms the covid- pandemic upended the industry but didnt decimate it

",cases
435,one-third of us child coviddeaths happened during omicron surge ,cases
432,"global covid caseload tops  mn; deaths surge to more than mn

globalcovidcases globalcoronacases coronavirus covid corona covid globalcovidcount covidtally coviddeaths johnshopkinsuniversity yespunjab

",cases
1132,you can reduce your chances of being infected or spreading covid- by taking some simple precaution,cases
1103,the government announces booster shot for covid for better immunity,cases
430,"johnsonout 
idesofmarch 

the costoflivingcrisis brexit lebedev coviddeaths russiareport partygate ukrainewar and hostile environment for refugees - all brutus fault

if he hadnt killed julius caesar none of this would have happened ",cases
1139,the cramped prison facilities are serving as breeding grounds for covid- coronariskinjail,cases
425,"global covid caseload tops  mn deaths surge to more than  mn

globalcovidcases globalcoronacases coronavirus covid corona covid globalcovidcount covidtally coviddeaths johnshopkinsuniversity yespunjab

",cases
1140,specialservice in covid  fixed departure,cases
417,"covid strikes again

covid pregnantwithcovid positivelateralflow pcrtest heparin covidsymptoms thesullivanfamily lossiemouth moray scotland familyvlogs largefamilyvlogs familylife familycontent youtubechannel ",cases
416,"post-covid symptoms are real if you are also facing them here is how you can get relief

postcovidsymptoms covidsymptoms covidrelief 

",cases
413,were you exposed to covid or just feeling sick learn more on when to stay home and how long covid covidsymptoms ,cases
410,cant taste anything specific apart from weather its bitter sweet sour etc cant distinguish flavours at all its weird covid covidsymptoms,cases
1137,nvolving traditional healers in public health initiatives to mitigate spread of covid- in bastar,cases
1620,letsfight covid- together,cases
1096,jails are like petri dishes for coronavirus corona risk in jail,cases
1085,jaipur jail has become new corona hotspot as of may  out of  corona positive cases  r from jaipur jail only to prevent spread government must take quick steps for quarantine purposes of prisoners from all over d country,cases
965,covid-: fourth wave could occur in india but not yet feel experts ,cases
971,what is stealth omicron variant that can trigger fourth covid- wave in india ,cases
974,covid th wave: maharashtra on alert as omicron ba surges globally expert on what to expect next ,cases
977,covid-: fourth wave could occur in india but not yet feel experts ,cases
533,malaysia reports  new covid- infections  new deaths ,cases
985,covid th wave: maharashtra put on alert as omicron ba cases surge globally news dailyhunt ,cases
986,"medical experts in india are of the opinion that given the high vaccination coverage and immunity due to natural infection any future waves are unlikely to have a major impact in the country
",cases
1091,quarantined and undergoing covid- test after signing off at sikka,cases
987,"countries like southkorea hongkong china uk and other european nations are witnessing a new wave of covid- cases covid 
",cases
995,"india predicts covid th wave cuts down covishield dose gap

covidthwave covishield coronavirus ntvtelugu ntvnews ",cases
999, well i'm not denying the fact that vaccine did have some side effects but possibility of occurring is minimal ( i'm speaking for indian variant of astra-zeneka- covishield) can't comment on european versionfypdatasetcsv]sheeta,cases
1025, sucks is there any good news anything good happening anything at all coronavirus codvid quarantinelife,cases
1041,the reason coronavirus is spreading so fast is because its trying to outdo cholera as the  plague currently ravaging the world,cases
490,has anyone estimated the environmental cost of covid how many tons of plastic bags masks needles  occurred due to covid what is our plan for this and next pandemic,cases
1048,dear covid enough messing around not scared of you at all but you better not ruin my ramadan fasts and tarawihs,cases
1078,saket district court orders sealing and sanitization of court premises as a duty magistrate tests positive for covid,cases
990,covid-: amid fourth wave scare expert body suggests reducing gap between covishield doses ,cases
1624, more persons related to aloo godam case test covid- positive in guwahati,cases
1201,test lab on wheels in punjab for coronavirus,cases
741," you are talking n sense the evidence of increasing covid mortality with advancing vaccination is shining from data  

experts are trying to explain why africa and india with the lowest vaccination rate have the lowest covid mortality ",cases
1883,got the jab covaxin thank you icmrdelhi,cases
1884,covaxin could induce broader immunity and better protection against new coronavirus strains than the covid,cases
1677,maskup india covid covidwarriors,cases
50,"it's the covidvaccine you're peddling with coercion that have us worried you two faced powermad puppet politician
brain death in a vaccinated (pfizerbiontech  doses) patient with covid- infection: covidvaccinevictims vaccination ",cases
101,  no more vaccins why are you selling the public the 'vaccins' while you're delaying covaxin vaccin this is disgusting covaxin covidvaccine covaxinapproval,cases
1726,good move in tackling down the covid- spreading,cases
1880,i would prefer covaxin instead it has very minimum known side effects in comparison to others unknown,cases
17,the benefits of vaccination for most young people who would if infected only develop mild symptoms at most are that of contribution to herd immunity reduced risk of educational disruption and reducing spread of infection covid covidvaccine,cases
1791,emotional roi should be one of your key performance indicators during covid,cases
1790,duty with covid  feeling strong,cases
1789,in this time when we all are facing covid- in our country,cases
1860,what is the efficacy of covaxin vaccination,cases
1857,and it is vaccine day covaxin covishield covidvaccination vaccinationdrive chennai,cases
1817,people prefer covishield vaccine over covaxin in india,cases
1678,personally i was more worried about the ongoing protests happening all around india than the corona virus outbreak itself,cases
92,"if you have chosen not to have the covidvaccine i do not regard you as an anti vaxer and i respect your freedom to choose and i will treat you completely equally 
regards
someone who's had both jabs ",cases
1702,global food prices before the spread of covid  intensified across several geographies,cases
1672,the world bank has announced  billion social protection package for india in wake of the coronavirus pandemic that has halted life across the country,cases
28," rural bengaluru covidvaccine availability for / at :am
free slots 
paid slots  ( ",cases
1664,covid awareness and safety kit distribution at cavarem pirla by indian red cross society salcete branch,cases
1871,covaxin is good vaccine as welltime tested concept of killed vaccineapparently it might be effective against new variants also,cases
1870,name of indian local vaccine is covaxin manufactured by bharatbiotech,cases
1803,considering jaipur's recent cases of covid- in jail prisoners from jails all over the country must be released as social distancing is not possible for jail-inmates saveprisoners,cases
1872,after covishield and covaxin  volunteers have reportedly taken part in the phase three trials of covid-,cases
1674,covid covid coronavirus rajasthanirang rajasthantourism rajasthan kota udaipur death,cases
1869,goodbye all the other deadly vaccines and hello covaxin,cases
1802,aicte launches free e-learning portal for the candidates sitting at home during the covid quarantine period,cases
1868,biotech's vaccine doesn't seem to be against the covid-mutations,cases
1815,for all the women and healthcare providers who have been asking about the safety of the covishield and covaxin vaccines,cases
1866,ovaxin developed by indian pharma firm bharat biotech neutralizes uk variant,cases
1877,this jan  story on india's covaxin is a rarity a factual story on india,cases
1793,be safe covid besafe washurhands livehealthy healthylife,cases
1663,migrantworkers covid hardshipsoflife poverty,cases
1887,here is another very good article about covaxin and ocugen among others,cases
1809,uh what happens when a grocery store or delivery driver tests positive for covid,cases
1825,covidvaccine covaxin covishield pfizer-biontech covid- pfizerbiontech covid,cases
1899,india reports close to k new covid cases  deaths india covid- covishield covaxin,cases
1854,covid- vaccine war covaxin maker bharat biotech on adar's safe like water remark,cases
1856,this is not true covaxin efficacy unknown trials not complete likely to be around  percent,cases
1837,surprised to learn those with autoimmune conditions or otherwise immunosuppressed are advised not to receive the vaccination,cases
1840,half way there covishield covaxin covid covidvaccine vaccination,cases
45,"uttar pradesh government is now planning to shift its focus to villages with a revised rural vaccination strategy

india uttarpradesh coronaviruspandemic covid covidvaccine vaccinationdrive re 
",cases
1838,how the covaxin vaccine works covid vaccination fear panic,cases
88,"morte cerebrale in un bivaccinato pfizer con infezione covid- 

brain death in a vaccinated (pfizerbiontech  doses) patient with covid- infection

covidvaccine vaccination greenpassobbligatorio covid



",cases
1901,are the two new vaccines developed by india covaxin and covishield safe,cases
1903,world countries approves covaxin and covishield who hails india's vaccines and vaccine production capabilities,cases
154,october   a political cartoon by rex a jonesantivax antivaxxer antivaxxers biglie cartoon covidvaccine covidiots covid vaccination editoralcartoon politicalcartoon getvaccinatednow anti-vaxxers getvaccinated covid ,cases
1904,covid coronavirusvaccine covaxin covishield watch what are the side effects of the two covid- vaccines,cases
1905,covaxin or covishieldvaccine both are safe two got covaxin and four got covishild,cases
1908,india sends free covaxin covishield vaccines to  caribbean island countries under vaccinemaitri,cases
43," does molly understand anything about gillickcompetency

if she tries to prevent -yr olds accessing a covidvaccine by using threatening language like this her actions could be considered a safeguarding concern",cases
1,i see faucidogtorturer trending beagles are routine test animals as used here to show that astrazeneca covidvaccine ingredient polysorbate  = tween induced damage due to immune response complement activation covidvaccinesideeffects ,cases
82,countries with higher percentage of covid vaccinations are showing marginally higher percentage of new cases of covid covidvaccine vaccinemandate vaccineeffectiveness  ,cases
1855,covaxin-covid- vaccine truly indian truly honest bharatbiotech narendramodi coronavirusstrain,cases
1639,with everyone trying to keep their hands as clean as possible during this covid- pandemic,cases
1894,india has ordered  mn more doses of covishield from seruminstindia and  mn doses of covaxin from bharathbiotech,cases
1754,how will india's informal sector emerge from the pandemic the covid- pandemic and lockdowns have upended india's informal job,cases
1832,wh is there a concern over covaxin vaccine,cases
73,"sad that this should happen to anyonemuch less this poor girl

auspol covidvic covidaus covidvaccine covid auspol coviduk covidsa covidnsw covidqld covidwa covidnt covidtas ",cases
1891,covaxin can also be stored for  months at room temperature,cases
1898,latest data suggests  of covishield doses and  of covaxin doses are going to waste,cases
1888,got first jab of covaxin today at satya sai hospital navaraipur chhattisgarh,cases
1690,cashier at grocery store was sharing his insights on covid,cases
72,the rate of vaccination reflects directly the level of trust to medical authorities and to the government in general in every country covid coviduk covidvaccine ,cases
1897,covid- covishield vaccine,cases
1896,if confused in a choice between covishield and covaxin do a coin toss and take whichever vaccine you get because both are safe and boosts our immunity,cases
1895,the approval process for the two covidvaccines released for restricted emergency use covishield and covaxin,cases
514,catch the insightful tte--tte between  ceo bct digital amp; david liu founder amp; ceo  featured in  amp;  as they discuss the future of money amp; banking click here to read fintech career banking pandemic,economy
521,day of reflection  years on remembering our loved and lost through the pandemic covid reflectionday pandemic ,economy
497,"false narratives about covid left us with millions of deaths  will we challenge them now 

to stop another more severe pandemic those misleading stories can not be forgotten
debora mackenzie 

",economy
525,alcohol-related deaths spiked during the covid pandemic: ,economy
1039,i really dont think it's appropriate to joke about corona at a time like this,economy
1811,while the world has been on the wrong side of history this year hopefully the biggest vaccination effort we've ever had everyone take vaccination,economy
495,"chilling read impact of covid pandemic amp; high levels of burnout us austrailia on the healthworkforce

read more:
workinghealth healthworkforce     ",economy
499,"pandemic disrupted existing patterns of labormigration due to the reduction in employment opportunitiesthe destination country and sector employment of migrants can determine how migrants are likely to fare in times of global recovery (

",economy
1028,corona virus is helping the environment - air on earth is now getting cleaner,economy
537," years to the day when we heard those words

you must stay at home

covid pandemic",economy
502,so important to pause reflect and remember those we have lost national dayofreflection is the perfect opportunity to look back at the past  years to see how far we have come and pay respect to those that are no longer with us pandemic mariecurie ,economy
1026,probably the worst year of my life yuckk,economy
505,"today we take time to connect and reflect remembering all that we have lost and supporting those most impacted by the pandemic

nationaldayofreflection covid pandemic reflect connect support remember remembrance aspirerecruitmentservices aspirerecruitmentservicesltd ",economy
996,"'omicron not the last variant': who lists  misinformation on covid pandemic

 
",economy
1017,covid lockdown situation is like our own existential crisis hanging over our heads pm callscurfewextension,economy
511,"afghanistan is one of the most food-insecure places in the world

    amp;  discuss challenges faced by nutrition programs due to pandemic amp; conflict situations amp; the way forward

foodinsecurity 
",economy
517,"an insight into childrens play during the pandemic: 
findings from   led by   are part of an exhibition curated by  opening online today the two-year anniversary of the first lockdown
find out more:
",economy
529,"during this pandemic avoid touching your eyes nose amp; mouth

",economy
1002,banmediahouse whose is responsible for spreading fake and communal stories in this pandemic corona situation,economy
512,"putins war demands a concerted global economic response
putins assault on ukraine will remake our world:  years after the start of the pandemic it's another economic shock; catastrophic for ukraine and bad for russia europe amp; the wider world ",economy
492,years ago today our lives changed  pandemic covid ,economy
520,taking into consideration the overall improvement in the situation amp; preparedness of the government to deal with the pandemic  the  has reached this decision,economy
1095,i composed this piece with my depression and sadness it's about the pandemic  how its started and spread throughout the world so many people are dying in this disease my deepest condolence to all this is the end probabaly,economy
1073,employment post covid is a challenge no job no money no life,economy
1121,writng is therapeutic we received an overwhelming response from people across age groups reflections on their new learnings and experiences during the times of covid,economy
1125,sathome staysafe wearmask save your nation,economy
1129,a -day-old infant of jaipur may be the youngest victim of covid- in the world,economy
1787,work and travel was the days before covid outbreak,economy
1783,in the times of this global epidemic it's important to consolidate right now covid pandemic lockdown,economy
426,"at the dfs panda  created a group of officials to monitor speedier claim settlements for deaths due to covid-

 reports 

irdai debasishpanda insurance insurancefirms coviddeaths
",economy
1781,last year i set out on a journey of self-discovery it has had its many ups and downs and surviving this covid pandemic is going to be one of those,economy
1141,testing times for men trained to be gender sensitive amid covid lockdown according to the national family health survey- (-) (nfhs-) three in  women in india in the - years age group have experienced domestic violence during this pandemic,economy
1142,welfare activities during covid- done by disciples of sant shri asharamji bapu gives the message that true joy amp fulfillment is found not in being served but in choosing to serve,economy
419,i am a caregiver to my -year-old mom amp; spend a lot of my time alleviating her fears on covid- that are not based on fact  has a webpage about covid- myth busters it offers consumer-friendly graphics that are easy to share with older adults ,economy
1152,qurantine stayhome staysafe,economy
1157,philanthropy is all about making a positive difference in the world by devoting your resources and your time to the needy ones kudos to disciples of sant shri asaram bapu ji for their covid-relief works,economy
414,"we've become very familiar with covid- over the last two years but what is long covid and what should you do about it 

covid longcovid covidsymptoms covidresearch physicaltherapy menorahpark excellenceincaring
",economy
1774,list of  covid positive patients today indiafightscorona,economy
1160,so sad reading other posts of people that have died from covidvaccine or having serious damage to their body from it,economy
76,     maybe those so certain about the protection provided by amp; safety of the cvax should at least look into the injury to  year old maddie de garay amp; the cdeath of fully vaxed colin powell covidvaccine,economy
1771,we all are very well aware of how important it is to sanitize our hands frequently from time to time to stop the spread of covid ,economy
1770,this corons time is an amazing opportunity to unlearn and relearn,economy
1769,corona time is very challenging,economy
1768,the eid in the pandemic time,economy
1163,he lockdown can never be for all times to come we as individuals have to be responsible for self and others covid  is here to stay and we have to live with it,economy
1119,art enables us to find ourselves and lose ourselves at the same time covidlocldown covidlife pandemic,economy
482,"today is nationaldayofreflection
jane will be ringing the bell outside chapel at noon amp; holding a minutes' silence 
join chaplaincy outside chapel or be with us in spirit from wherever you are 
reflect covid grief pandemic taketime think silence respect ",economy
441,"today marks  years since the uk entered its first lockdown

take a moment to pause today snd reflect on what we have navigated those lost and lives changed

remberence lockdownanniversary covid pandemic reflection compassion ",economy
444,sanctionrussianow to stopwar asap: ukrainewar amp; pandemic force nations to retreat from globalization stopwarnow russianwarcrimes stoprussianaggression sanctionrussia russianukrainianwar putinwarcrimes stoprussia ukraine kyiv ukrainerussiawar ,economy
480,"two years to the day that the first national uk covid lockdown was announced our writers    and  reflect on their memories of the pandemic
",economy
478,"two years to the day that the first national uk covid lockdown was announced our writers    and  reflect on their memories of the pandemic
",economy
1806,covid- already existing virus- recently enhanced to effect our elderly to scare the world into going to their nearest supermarket to buy products so the governments are able to receive more money,economy
1082,list of  new covid positive cases in vadodara,economy
472,we are looking forward to this collaborative work with    to address skills related challenges of returneemigrants due to pandemic i am sure this union will help the youngpeople of nepal connect with better employmentopportunities  ,economy
1090,tamil nadu cm announces complete lockdown in chennai and three other districts,economy
470,"it is a big challenge to organize a get-together during a pandemic and make it a productive one  took on that challenge

see how we used online platforms and team activities to share our stories give feedback amp; talk about the future of slash",economy
468,"our ceo dr martin stocks reflects on the recent  summit in his new blog: pandemic preparedness relies on leveraging the revolutionary technologies and insights of innovative startups 
read in full at: glycoscience glycans glycotime ",economy
1092,after remaining covid free for three consecutive days a covid- positive case surfaced in anand district on monday,economy
1094,another  days of lockdown,economy
465,"great
but we russia amp; usa be united to meet ummah amp; chinese for loose religious actors amp; pandemic 

pattoki iraq kuwait biden putin russianukrainianwar ukraine ukraina is trap ",economy
539,unbelievable but true  days after the outbreak of the deadliest pandemic in history i am still alive amp; healthy all achieved on my own without any vaccination medication or what not not ruled by fear but free to live covidhoax factsnotfear immunesystem,economy
462,is uk heading for another lockdown after zionist  removed all covid restrictions too early  china and other countries are reimposing restrictions to cope with the new surge of the pandemic ,economy
59,"a -year-old woman
-  days after st dose of the covidvaccine (johnson amp; johnson): headache myalgia amp; fever  days later: persistent headaches amp; onset of left leg pain  days later: vomiting episodes
 superior sagittal sinus thrombosis
- she died
",economy
459,burned out and restless from the pandemic women redefine their career ambitions ,economy
1796,areas affected by covid patients as of today,economy
451,"newzealand will remove many of its covid pandemic mandates over the next  weeks as an outbreak of the omicronvariant begins to wane

",economy
450,finally it is all starting to come out pandemic pandemicgameover msm ,economy
448,"as we recover from the pandemic with more uncertainty because of global developments i do not think the key question is the number of jobs being created but quality

interesting article by   
a must read

econtwitter jobs uemployment pandemic ",economy
156,"webqoof  as india achieved the milestone of administering  crore covidvaccine doses on  october many social media users including bjp leaders falsely claimed that india was the first country in the world to do so read our fact-check here
",economy
446,this is why we do what we do this lovely feedback is from a woman who has been suffering extreme anxiety as a result of the covid pandemic if you live in meanwood you can join the waiting list for our next therapeutic horticulture programme if you email info ,economy
442,"wow  years today since the global pandemic resulted in lockdown changed all our lives forever
time to remember the highs lows those sadly lost our essential services hero's and of course to celebrate the recovery
vaccinated wfh nhs ",economy
